hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,two_legs,four_legs,five_legs,six_legs,eight_legs,tail,domestic,catsize
0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0
0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1
1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0
0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1
1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
